290,4,20140408,95.64,JPY/AUD
291,3,20140408,0.676,EUR/AUD
292,1,20140409,0.9367,USD/AUD
293,4,20140409,95.58,JPY/AUD
294,3,20140409,0.6792,EUR/AUD
295,1,20140410,0.9414,USD/AUD
296,4,20140410,95.82,JPY/AUD
297,3,20140410,0.6798,EUR/AUD
298,1,20140411,0.9375,USD/AUD
299,4,20140411,95.27,JPY/AUD
300,3,20140411,0.6749,EUR/AUD
301,1,20140412,0.9375,USD/AUD
302,4,20140412,95.27,JPY/AUD
303,3,20140412,0.6749,EUR/AUD
304,1,20140413,0.9375,USD/AUD
305,4,20140413,95.27,JPY/AUD
306,3,20140413,0.6749,EUR/AUD
307,1,20140414,0.9392,USD/AUD
308,4,20140414,95.39,JPY/AUD
309,3,20140414,0.678,EUR/AUD
310,1,20140415,0.9392,USD/AUD
311,4,20140415,95.7,JPY/AUD
312,3,20140415,0.6798,EUR/AUD
313,1,20140416,0.9378,USD/AUD
314,4,20140416,95.89,JPY/AUD
315,3,20140416,0.6781,EUR/AUD
316,1,20140417,0.9365,USD/AUD
317,4,20140417,95.52,JPY/AUD
318,3,20140417,0.6766,EUR/AUD
319,1,20140418,0.9365,USD/AUD
320,4,20140418,95.52,JPY/AUD
321,3,20140418,0.6766,EUR/AUD
322,1,20140419,0.9365,USD/AUD
323,4,20140419,95.52,JPY/AUD
324,3,20140419,0.6766,EUR/AUD
325,1,20140420,0.9365,USD/AUD
326,4,20140420,95.52,JPY/AUD
327,3,20140420,0.6766,EUR/AUD
328,1,20140421,0.9365,USD/AUD
329,4,20140421,95.52,JPY/AUD
330,3,20140421,0.6766,EUR/AUD
331,1,20140422,0.9356,USD/AUD
332,4,20140422,95.93,JPY/AUD
333,3,20140422,0.6781,EUR/AUD
334,1,20140423,0.9284,USD/AUD
335,4,20140423,95.22,JPY/AUD
336,3,20140423,0.6719,EUR/AUD
337,1,20140424,0.9294,USD/AUD
338,4,20140424,95.13,JPY/AUD
339,3,20140424,0.6724,EUR/AUD
340,1,20140425,0.9294,USD/AUD
341,4,20140425,95.13,JPY/AUD
342,3,20140425,0.6724,EUR/AUD
343,1,20140426,0.9294,USD/AUD
344,4,20140426,95.13,JPY/AUD
345,3,20140426,0.6724,EUR/AUD
346,1,20140427,0.9294,USD/AUD
347,4,20140427,95.13,JPY/AUD
348,3,20140427,0.6724,EUR/AUD
349,1,20140428,0.929,USD/AUD
350,4,20140428,94.97,JPY/AUD
351,3,20140428,0.6721,EUR/AUD
352,1,20140429,0.9242,USD/AUD
353,4,20140429,94.72,JPY/AUD
354,3,20140429,0.6665,EUR/AUD
355,1,20140430,0.9287,USD/AUD
356,4,20140430,95.08,JPY/AUD
357,3,20140430,0.6729,EUR/AUD
358,1,20140501,0.9295,USD/AUD
359,4,20140501,95.01,JPY/AUD
360,3,20140501,0.6702,EUR/AUD
361,1,20140502,0.9277,USD/AUD
362,4,20140502,95.02,JPY/AUD
363,3,20140502,0.6693,EUR/AUD
